,date,title,contents
400,2020-02-28,"[주식인사이드] 코스피 주가정보 - 아이에스동서, 현대홈쇼핑, 태영건설 외 (...","11% 하락한 26,000원, ▲롯데하이마트(071840) 전일 대비 -3.87% 하락한 21,100원에 장마감됐다. 오후 4시 16분 현재 코스피 지수는 어제보다 67.88포인트(-3.26%) 하락한 1987.01으로 마감했다."
401,2020-02-28,"소파 전문브랜드 미까사, 잠실 롯데하이마트 팝업스토어 오픈",▲ [IT비즈뉴스 김민주 기자] 가구 유통 전문기업 ㈜하낙스의 프리미엄 소파 전문 브랜드 미까사가 잠실 롯데월드몰 3층 롯데하이마트 매장에 지난 24일부터 오는 3월 31일까지 팝업스토어를 오픈한다고 밝혔다. 업체 측은...
402,2020-02-28,"“롯데하이마트, ‘코로나19’ 영향으로 1분기 매출 역성장 전망”",미래에셋대우는 28일 롯데하이마트에 대해 코로나19에 따른 직접적인 매출 타격과 비우호적 환경에 따라 당분간 보수적 접근이 필요하다고 판단했다.김영주 미래에셋대우 연구원은 “코로나19 확산 우려는 롯데하이마트...
403,2020-02-28,올해의 컬러 '클래식 블루'…클래식 블루 활용한 홈 인테리어 아이템,콜러는 롯데하이마트의 체험형 매장 ‘메가스토어’에 콜러 키친 쇼룸을 마련해 ‘자도르’를 비롯한 키친 캐비닛 5종을 전시하고 있다.에싸(ESSA) ‘파리지엥 소파’ 소파 브랜드 에싸(ESSA)의 ‘파리지엥 소파’는...
404,2020-02-28,"[리포트 브리핑]롯데하이마트, '비우호적 환경, 아직은 시간이 필요하다 ' Tr...","로보뉴스 = 미래에셋대우에서 28일 롯데하이마트(071840)에 대해 '비우호적 환경, 아직은 시간이 필요하다 '라며 신규 리포트를 발행하였고, 투자의견을 'Trading Buy'로 제시하였다. ◆ 롯데하이마트 리포트 주요내용..."
405,2020-02-28,바이타믹스가 제안하는 ‘헬시 푸드 레시피’,"한편, 바이타믹스는 최근 롯데하이마트 잠실점 메가스토어 브랜드관에 입점했으며, 방문자들은 초고속 블렌더 중 최고급 하이엔드 모델인 ‘A3500i’을 비롯해 다양한 제품을 체험해볼 수 있다."
406,2020-02-28,"미래에셋대우 ""롯데하이마트, 코로나19 우려에 1분기 매출 역성장""",미래에셋대우는 28일 롯데하이마트에 대해 1분기 매출이 지난해 하반기에 이어 역성장을 기록할 것으로 예상했다. 코로나19 확산 때문이다. 김명주 미래에셋대우 연구원은 “코로나19 확산 우려는 롯데하이마트 매출...
407,2020-02-28,"[★주식인사이드] 롯데하이마트, 주가 21,700원(2월 28일 9시 8분 기준)","2월 28일 오전 9시 8분 현재 롯데하이마트(071840) 주가가 전일 대비 -1.14% 변동된 21,700원에 거래되고 있습니다. 롯데하이마트의 오늘 시가는 21,650원이며 어제 종가는 21,950원이었습니다. 롯데하이마트 주가..."
408,2020-02-28,"롯데하이마트, 코로나 충격 1Q 역성장 전망-미래에셋대우","미래에셋대우는 롯데하이마트에 대해 코로나19 여파로 지난해 하반기에 이어 올해 1분기 역성장이 예상된다고 분석했다. 투자 의견은 '단기매수'를, 목표 주가는 4만2000원을 유지했다. 김명주 미래에셋대우 연구원은..."
409,2020-03-02,"롯데하이마트, 'mom편한 하이드림(Hi Dream)' 나눔 프로젝트 7회차 진행",롯데하이마트(대표 이동우)는 엄마와 아이에게 가전제품을 지원하는 사회공헌 활동인 'mom편한 하이드림(Hi Dream)' 나눔 프로젝트를 진행한다고 2일 밝혔다. mom편한 하이드림(Hi Dream) 프로젝트는 엄마와 아이가...
410,2020-03-02,"롯데하이마트, '맘편한 하이드림' 나눔 프로젝트",포쓰저널 오경선 laurenoh1018@gmail.com ?롯데하이마트(대표 이동우)는 엄마와 아이에게 가전제품을 지원하는 사회공헌 활동인 ‘맘(mom)편한 하이드림(Hi Dream)’ 나눔 프로젝트를 진행한다고 2일 밝혔다.이 프로젝트는...
411,2020-03-02,'코로나19 장기화' 외국인 공매도 기승…주식시장 침체 우려,이 밖에 △이노션(214320) △CJ CGV(079160) △아모레퍼시픽(090430) △롯데하이마트(071840) 등이 공매도 비중 상위를 기록했다. 공매도 비중이란 전일 거래량에서 공매도 수량이 차지하는 비중을 뜻한다. 비중이 높을수록...
