keyword,summary,label
온실가스 배출,LG생활건강은 온실가스 인벤토리 구축과 에너지관리 시스템의 운영을 통해 기후변화에 대응하고 있으며 2005년부터 국내외 사업장에 대한 온실가스 인벤토리와 기후변화 대응 시스템을 구축하여 전 사업장의 에너지 사용량과 온실가스 배출 현황을 관리하고 있다.,e
친환경 포장재,LG생활건강은 지속가능한 친환경 포장재 구현을 위해 그린제품 심의협의회를 운영해왔으며 CRO를 위원장으로 환경 안전부문이 추진하고 포장연구 디자인 구매 제품 기획 부서가 협의회 로 구성되어 있다.,e
환경 경영,LG생활건강은 500여 개의 협력회사를 대상으로 ESG 역량 강화 활동을 확대해 지속가능한 공급망 구축에도 힘 쓸 것이며 협력 회사 대표와 실무자를 위한 ESG 교육 과정을 신설하고 국내외 ESG 경영 정보를 제공하는 등 컨설팅 활동도 더욱 강화해 나갈 예정이다.,e
플라스틱 재활용,LG생활건강은 재활용된 플라스틱과 자연 유래물질 기반의 플라스틱을 사용한 패키징을 개발 및 적용하여 재활용성의 개선 뿐 아니라 폐기물 발생량과 제품 원가를 절감하는 성과를 거두었습니다.,e
PET 재활용,LG생활건강은 음료에 사용되는 PET 용기의 라벨을 제거하여 재활용성을 높이고 플라스틱 사용량을 저감하였으며 샤프란 1 1 기획세트에 띠 형태의 라벨을 사용하여 기획 포장 형태를 구현하였다.,e
개인정보 관리,LG생활건강은 전사 리스크 관리 차원에서 사이버 보안을 지속적으로 강화하고 있으며 전사 개인정보보호 규정과 더불어 개인정보보호 책임자와 정보보안 전담부서를 운영하며 정보보안 시스템과 프로세스 또한 꾸준히 개선하고 있다.,s
안전 보건,LG생활건강은 글로벌 수준의 안전보건경영 시스템을 기반으로 전사 안전보건 관리체계를 새롭게 구축하고 안전보건 전담조직을 통해 중대재해를 비롯한 안전보건 리스크를 철저히 관리하며 체계적인 안전보건 활동을 펼치고 있다.,s
동반 성장,LG생활건강은 국내 최고의 동반성장 선도 기업이라는 동반성장 비전 실현을 위해 4대 전략 과제와 세부 전략 방향 6대 추진 분야로 구성된 전략 체계를 마련해 추진하고 있다.,s
총회 협력,LG생활건강은 2차 이하 협력회사 지원을 위해 1 2차 협력회사 간의 공정 거래 협약 체결을 독려하고 있으며 표준하도급계약서 도입을 장려하여 합리적이고 투명한 거래 관계를 확보하고 공급망 전체에 공정거래와 상생 협력의 문화를 조성해 나가고 있다.,s
점검 프로제스,LG생활건강은 2021년에도 각 사업장별로 안심품질 진단과 개선을 진행해 다양한 품질 혁신 성과를 거두었는데 신규 유형 제품의 사전 리스크 점검 프로세스를 개선한 것도 의미 있는 성과 중 하나였다.,s
안전 평가,유해물 질분석Lab에서는 관련 부처에서 발표한 유해물질 관련 행정 예고 와 개정 내용을 내부 관리 기준에 포함시켜 법이 시행되기 전에 이슈가 될 수 있는 유해물질 포함 여부를 사전에 검증하고 있다.,s
협력 회사,LG생활건강은 지속가능한 공급망을 구축하기 위해 협력회사의 잠재적 리스크인 ESG 요소에 대해 평가 관리하고 있으며 2021년에는 비대면 방식으로 ESG 평가를 진행하여 협력회사의 ESG 역량 강화를 적극 지원하였다.,s
구성원 건강,LG생활건강은 구성원들의 뇌심혈관계 질환 예방을 위해 레드서클 주간행사를 진행해왔으며 매년 9월 첫째 주를 뇌심혈관계 질환의 위험성을 인식하고 스스로 건강을 관리하는 문화를 함께 만들어가는 주간으로 운영하고 있다.,s
품질 안전,LG생활건강은 내용물 충전 전 고압의 공기를 용기에 불어넣어 용기 내 이물이 잔존할 수 있는 리스크를 제거하는 공정인 세병 공정 개선을 추진했다.,s
품질 관리,LG생활건강은 고객의 안전과 제품의 신뢰를 확보하기 위해 전사적인 안심품질관리 시스템을 구축하고 소비자안심센터를 운영하고 있으며 제품 개발부터 사용까지 포괄하는 라이프 사이클 안심품질 프로세스를 통해 전 과정의 위해성을 체계적으로 관리한다.,s
경영 내부통제,2021년에는 국내외 Core partners와 Key suppliers 협력 회사를 대상으로 웹 기반의 비대면 ESG 평가를 진행하였고 잠재적 리스크가 발견된 협력회사에게는 개선 계획을 수립하도록 권고했으며 개선 이행 여부를 지속적으로 모니터링하고 있다.,s
품질 인증,LG생활건강은 협력회사의 품질 수준을 법규 이상의 도덕적 수준으로 유지하고 품질 사각지대를 최소화하고자 기존 신규 협력회사를 대상으로 안심품질인증 활동을 시행하고 있다.,s
주주총회,감사위원회는 사외이사 4명으로 구성되며 독립성을 보장한다.,g
에너지 절감,전사적으로 에너지 절감 캠페인을 시행하고 있으며 에너지 사용량 측정 장치 설치와 전기 과설비 예방과 같은 조치들도 단계적으로 시행해 나갈 예정이다.,e
전력 소비,냉난방기는 조명시설과 함께 전력소비에 영향을 미치는 요소 중 하나이며 롯데하이마트는 2021년 전국 48개 매장 및 물류센터의 노후 전기식 냉난 방기 교체대상 71대를 고효율 인버터 냉난방기로 교체하였다.,e
안전 보건관리,롯데하이마트는 재해 건수 제로화를 목표로 산업 안전보건위원회를 운영하고 있으며 분기별 회의에서 사업장 안전보건을 위 한 각종 활동 심의 및 현황을 공유한다.,s
산업 안전,유통판매업의 특성상 매장과 물류센터에는 상품 적재 이동 등으로 안전사고가 발생할 가능성이 있어 매장 및 물류센터의 소방 및 전기시설 작동 점검 및 파지장 화재 예방 점검을 실시하여 안전사고에 선제적으로 대응하고 있다.,s
교류 활동,롯데하이마트는 중소 파트너사와 긴밀한 소통을 유지하여 동반성장을 달성하기 위해 각종 간담회와 문화 교류 행사를 운영하고 있다.,s
파트너 개발,롯데하이마트는 다양한 기술력을 갖춘 자체 브랜드 PB 상품 개발로 고객 만족도를 높임과 동시에 중소 파트너사 판로 확대를 위해 PB상품 개발 중소 파 트너사를 공개 모집했다.,s
중소기업 파트너,롯데하이마트는 4C 추진체계를 통해 파트너사와 동반자적 관계를 형성하고 경쟁력 강화를 지원하고 있으며 이는 롯데하이마트의 전국 유통망을 통해 파트너사의 매출 성장을 가져오며 우수한 제품 및 기술 혁신은 곧바로 롯데하이마트의 고객 창출로 이어진다.,s
품질 관리,PB 제품의 품질 관리를 강화하기 위해 다양한 품질 테스트를 실시할 수 있는 넓은 장소가 필요해 2021년 창동 사옥 품질 실험실을 확장 이 전하여 기존의 소비전력 및 전류 측정뿐만 아니라 감전 및 화재 위험 등을 확인하고 개선하여 품질안전을 확보하고 있다.,s
윤리 진단,롯데하이마트는 파트너사를 대상으로 외부기관을 통한 윤리진단 평가 를 실시하고 있는데 온라인 설문으로 진행하며 갑질행위 유 무 등을 포함한 윤리경영과 공정거래와 임직원 친절도를 포함 한 거래 만족도 평가 분야를 통해 개선사항을 도출할 수 있다.,s
역량 컨설팅,롯데하이마트는 동반성장 아카데미를 운영하여 중소 파트너사가 활용할 수 있는 다양한 교육 프로그램을 제공하고 있으며 동반성장 펀드를 통해 은행 대출 시 우대금리를 제공한다.,s
여성 임원,산출기준 산출기준 산출기준은 보고 연도 복귀 후 12개월 근속한 임직원 수 직전년도 업무 복귀한 임직원 수 업무 복귀 후 12개월 근속한 임직원 수 업무 복귀 후 12개월 근속한 임직원 수 보고 연도 복귀 후 12개월 근속한 임직원 수 보고 연도 복귀 후 12개월 근속한 임직원 수 보고 연도 복귀 후 12개월 근속한 임직원 수 보고,s
자율 준수,롯데하이마트는 공정거래위원회 규정에 따라 CP 담당조직을 운영하고 있으며 CP 총 책임자인 자율준수관리자는 이사회를 통해 선임하도록 하였으며 준법경영부문장이 임명되었습니다.,s
이사회 위원회,사외이사의 경우 이사회 기여도 영향력 전문성 적극성을 객관적으로 평가 하고 있으며 법령과 내규에서 요구하는 역할과 책임 수행 여부를 정기 검토하여 경영진 견제 역할을 제대로 수행할 수 있도록 지원하고 있습니다.,g
온실가스 배출,신세계는 배출권거래제 대상 기업으로 온실가스 배출을 감축하기 위해 고효율 기자재를 지속적으로 도입하고 에너지 절감을 위한 효율적인 운영 기준을 수립하는 등 전사적 차원에서 다양한 투자와 노력을 기울이고 있다.,e
플라스틱 재활용,신세계는 플라스틱의 재활용률을 높이기 위해 다양한 노력을 전개해 나가고 있으며 플라스틱 패키지 재질을 단일화하고 플라스틱을 무색으로 전환하여 재활용 가능한 패키지 설계 비율을 향상시키고자 노력하고 있습니다.,e
환경 보호,무분별한 플라스틱 사용은 환경오염 및 기후변화를 일으키고 아이들의 미래 생존권을 위협하므로 세이브더칠드런과 협업하여 폐플라스틱 업사이클링 기부캠페인을 추진하고 이를 통해 환경보호 및 취약계층을 지원하는 폐플라스틱 선순환 모델을 구축하였다.,e
친환경 경영,신세계백화점과 조선호텔앤리조트는 폐리넨으로 반려동물용품을 만드는 브랜드 레미투미와 협업하여 자원선순환 캠페인을 진행하였다.,e
안전 준법,신세계는 안전보건담당을 선임하여 중대산업재해와 중대시민재해에 대한 사고예방업무를 체계적으로 관리하고 있으며 안전과 관련된 업무 메뉴얼 및 사내 규정 및 지침을 수립함으로써 사업장에서 이행 관리 될 수 있도록 지속적인 점검을 실시하고 있다.,s
고객 대상,신세계는 정기 및 비정기적으로 고객의 Pain point를 찾아 개선해 나가고 있다.,s
협력 관계,신세계는 동반성장 전담 조직을 개설하고 전 임직원의 참여를 독려하는 등 협력회사와 함께 성장하기 위해 노력하며 신세계는 다양한 동반성장 프로그램을 운영하여 협력회사와의 동반성장을 위해 노력하고 있다.,s
매장 환경,신세계는 고객과 직원에게 쾌적한 실내 환경을 제공하기 위하여 영업 매장과 실내 주차장의 공기질 관리에 힘쓰고 있으며 앞으로도 다양한 노력을 전개하여 고객의 안전을 위한 관리를 지속적으로 강화해 나갈 것이다.,s
위험 관리,신세계는 비즈니스 추진 단계부터 시스템 구축 및 운영 등 전 과정까지 Privacy by Design 원칙을 엄격히 적용하여 모든 법규 리스크를 사전 예방하고 있다.,s
중소기업 판로,중소기업의 판로지원 기회를 제공하기 위해 정부 주최의 공개 구매상담회에 적극 참여하고 있으며 구매상담회를 통해 국내 중소기업에게 백화점 입점 노하우 제공 및 판로를 지원하고 있다.,s
공정거래,신세계는 공정거래 자율준수를 기업문화로 정착시키기 위해 영업 부문의 핵심적 사항에 대한 정기적인 점검을 실시하고 있으며 내 외부 채널을 통해 들어오는 사안들에 대해 수시로 실사조사를 실시하여 조사결과 문제점 발견 시 경중에 따라 제재 조치를 시행하고 있다.,s
임직원 윤리,신세계는 임직원 대상 리스크 예방 교육을 정기적으로 진행하여 윤리경영에 대한 임직원들의 의식 수준을 함양하고자 노력하고 있으며 온라인 교육 플랫폼을 통한 비대면 교육을 진행하여 많은 임직원들이 교육에 참여할 수 있도록 지원하고 있다.,s
지인 거래 제도,신세계는 백화점 입점에 대한 공정한 기회를 부여하고자 협력회사와 신규거래 및 재계약 시 공정한 기준과 절차를 도입하여 운영하고 있습니다.,s
임직원 고충,신세계는 각 사업장별로 고충처리 위원회를 구성하여 임직원들의 원활한 고충 처리 및 재발 방지를 위해 노력하고 있으며 온라인 고충 접수 뿐만 아니라 직접 대면으로 고충을 접수할 수 있는 오프라인 채널도 마련되어 있다.,s
이사회 경영,신세계는 이사회 중심 경영을 기본 원칙으로 한 지배구조를 갖추고 있으며 이사회는 효과적인 기능 수행을 통해서 경영진이나 지배주주의 독단적인 경영을 감독 및 견제하며 기업의 부실화를 사전에 예방함으로써 소액주주 등의 이해관계자들을 보호하는데 최선을 다하고 있다.,g
